 	1A2	1B3	MCV6	MCV8	BIV1-	BIV1+
Bcl9l	-0.487593077	-0.536609239	-0.441731753	-0.490980246	-0.5106509	-0.306257397
Bcor	0.97589119	0.999783261	0.892793407	0.842336151	0.561638818	0.639058313
Bhlha15	-0.637343538	-0.34661895	-0.938256776	-0.938255786	-0.623664825	-0.811312511
Bhlha9	-0.656780798	-0.868324437	-1.003785431	-0.899847969	-1.21604023	-0.790692649
Bhlhe22	-0.618142095	-0.575293194	-1.211120704	-1.242766244	-1.02882346	-1.0103165
Bhlhe23	-1.159246942	-1.020738035	-1.680929489	-1.105187271	-1.454554335	-0.818995924
Bhlhe40	2.473219473	2.634148741	2.268870574	2.440873052	1.564474646	2.47237559
Bhlhe41	-0.56460382	-0.482676895	-0.945611887	-1.024824682	-0.857020792	-0.945615277
Bmi1	1.452801136	1.319066805	0.916487288	1.270407353	0.526890452	1.219335982
Bnc1	-1.753005548	-1.483915964	0.785318876	-2.060515808	-1.614205534	-1.700486912
Bnc2	-1.18104058	-1.550562234	-1.096548275	-1.905539051	-0.214781003	-1.177491288
Bnip3	1.650262833	2.27157297	1.586094194	2.631012227	2.145369741	2.145372593
Bptf	0.559985274	0.754449182	1.559177229	1.193334854	1.533339813	1.266905418
Brca1	0.173013028	0.267102997	0.521460973	0.476793398	0.427859667	0.185788632
Brd1	0.003158927	0.150738697	0.182576553	0.265149661	0.115515466	0.271696361
Brd3	0.774910981	0.812275934	0.914095022	0.75564501	0.943156688	0.686174038
Brd4	0.656780798	0.69700607	0.948074891	0.921286527	1.014252211	1.060014656
Brd7	0.144225028	0.1811871	0.400352708	0.23582988	0.347883483	0.172953994
Brd9	1.153119574	1.137447958	1.102299312	1.096547117	0.957986667	1.379759081
Brdt	-1.144008175	-1.418926467	-1.046326034	-0.528701555	-1.022173477	-0.650701982
Btg1	0.874492043	0.924795709	0.858155816	0.789612986	0.895142351	0.918888063
C030039L03Rik	-0.62771414	-0.660275575	-0.572749927	-0.147366435	-0.891623783	-0.2684222
C1d	0.417651404	0.365132458	0.288110314	0.245579582	0.195434198	0.156950094
C80913	1.011972419	1.169508147	1.741640072	1.693890386	1.763371299	1.375711329
Calcoco1	-0.110786488	-0.039530105	0.003157838	-0.031583498	-0.118694858	-0.047385239
Camta1	-0.514424223	-0.705069924	0.334500526	-0.198652779	0.185788385	-0.211551468
Camta2	0.62771414	0.656357858	0.253722288	0.279893204	-0.150559709	0.374837661
Cand1	0.702455535	0.60156048	0.534151051	0.706251031	0.453941172	0.569040108
Carhsp1	1.533865219	1.561034326	1.785953144	1.513370122	1.3757095	1.465921678
Casp8ap2	1.581164642	1.545388691	0.793923261	0.80041415	1.246174017	0.578334521
Cbfb	2.195036379	2.147920194	2.194279549	2.194277232	2.035247788	2.311434965
Cbx1	0.514424223	0.553087546	0.455689655	0.172953192	0.662432944	0.052127828
Cbx4	0.018954654	0.063273626	0.185787966	0.144175148	-0.174556504	0.391820704
Cbx5	0.599163961	0.584628414	0.71843638	0.66243075	0.858157751	0.682190962
Cbx7	-0.587879348	-0.540258489	-1.038207638	-0.252092214	0.133017331	-0.324504041
Cbx8	-0.317965301	-0.383770656	-0.289755977	-0.216396026	-0.688168714	-0.332833166
Ccdc79	-1.878253866	-1.616124529	-1.935033839	-0.973025417	-1.321244306	-1.288189728
Ccne1	1.70106733	1.819713353	0.988289998	1.022170093	1.631696704	0.776774566
Cct4	1.443866895	1.365319639	1.253021813	1.122717719	1.076699559	0.93826014
Cdc5l	1.662568749	1.599089718	2.130134809	2.249031402	2.311431892	1.896072507
Cdk7	0.608625866	0.616755689	0.598957374	0.83116392	0.459193863	0.501687254
Cdr2	0.764319105	0.681011179	0.22286485	0.25861547	1.022173477	0.637126071
Cdx1	-1.096926486	-1.225755779	-1.118304308	-1.199758444	-1.127157854	-1.142108909
Cdx2	-0.747546469	-0.929633513	-0.935816238	-0.842336151	-1.134601182	-0.835624271
Cdx4	-2.372056076	-2.089656133	-2.817200608	-2.817197633	-2.017104446	-1.868616271
Cebpa	-0.369890019	-0.753402084	-0.668331339	-0.791765881	-0.476794977	-0.759846751
Cebpb	1.388396286	1.500566952	1.392033931	1.284596201	0.833392864	1.580625135
Cebpg	0.171410179	0.288453475	0.514246854	0.526888707	0.39864463	0.660472269
Cenpa	0.069551819	0.077535853	0.291402419	0.250463072	0.339512518	0.17936765
Cenph	0.941027329	1.03138355	0.932165762	0.85815491	1.321244306	0.378225546
Cenpi	0.818174531	0.836616564	1.219331611	1.057257059	1.001188558	0.696179367
Cenpk	-0.383446309	-0.290101098	0.071110631	-0.071110556	0.034743166	-0.133017508
Cenpn	1.060376465	1.055769423	1.087988558	0.751459963	1.14664192	0.490982524
Cenpo	-0.331278561	-0.38717345	-0.265149941	-0.274972138	-0.283178584	-0.376531067
Cenpp	-0.018954654	0.141153391	0.299646491	0.201874051	0.664397027	-0.152156874
Cenpq	1.321697036	1.472267101	1.575191339	1.6376332	1.479811021	1.23938257
Cenpv	1.786569138	1.758124851	1.945246498	1.741638233	1.68093328	1.756039578
Chd1	0.914410303	0.845589977	0.967988329	0.911706971	0.844585918	0.796086327
Chd1l	1.457311691	1.41465857	1.49878179	1.375704945	1.430185889	1.404530584
Chd3	0.953346801	0.859177944	1.425841561	0.047385019	0.04264365	0.990859732
Chd4	0.811589432	1.30793074	1.842483532	1.489226687	1.586097771	1.553931903
Chd5	-0.56460382	-1.020738035	-0.424403267	-0.99600701	-0.455690682	-0.659492437
Chd6	-0.324614802	-0.293398689	0.379919741	0.385012515	0.433052363	0.206710828
Chd8	-0.417651404	-0.373588424	0.096462071	-0.140985318	-0.012631691	-0.077443889
Chmp3	0.271789098	0.25402449	0.467975388	0.469735688	0.419230455	0.512449316
Chrac1	1.156177879	1.141957013	1.28818511	1.259929922	1.336406359	1.12864306
Ciao1	1.714473361	1.660872566	1.239378128	1.266899539	1.310067458	1.119777449
Cic	1.129028293	1.099290437	1.119773435	0.95549737	0.80476328	1.456814444
Ciita	-1.053507231	-1.092132253	-1.447820323	-1.073894344	-1.430185889	-1.212760748
Cir1	0.69641699	0.656357858	0.815694261	1.071101031	0.774645545	1.177491288
Cited1	0.284919541	-0.093401223	0.519654933	1.249587919	0.876501387	1.110998293
Cited2	1.253453994	1.047572287	-0.044223948	0.642926934	1.825739636	1.425846672
Clock	0.807218685	0.573432115	0.656554345	0.978088145	-0.017368983	1.087992458
Cnot1	0.454096718	0.34661895	0.621749682	0.646808104	0.658512357	0.600846982
Cnot3	0.741310336	0.669127372	0.281535345	0.109159762	0.252093049	0.242328277
Cnot4	0.758004615	0.721335567	0.732786911	0.770397418	0.865002765	0.743132212
Cops2	1.851691936	1.844678069	1.693892175	1.955662399	1.896069987	1.886763034
Cops5	0.587879348	0.628245106	0.710301677	0.72456771	0.747290406	0.640992924
Cphx	-0.704474029	-0.709118896	-1.186960993	-1.232640009	-0.860434978	-0.87881609
Creb1	0.174616317	0.23448632	0.230963656	0.278252107	0.331165086	0.263516294
Creb3	0.948401892	0.823280001	0.806940363	0.928526586	0.88811613	0.993432413
Creb3l1	-0.117940299	-0.156336406	-1.057258175	-0.943153565	0.521462149	-1.355800055
Creb3l2	0.301401636	0.231238751	0.670303098	0.650698962	0.402063752	0.766169141
Creb3l3	0.469017319	0.400829558	-0.450445261	-0.606519351	-0.90457942	-0.597074174
Creb3l4	-1.496896808	-1.776661616	-0.663413172	-0.206709869	-0.322840481	-0.706254309
Creb5	-1.843119024	-1.963289052	-1.503609871	-1.543548577	-1.49878517	-1.193340391
Crebbp	0.266877253	0.641754094	1.009003978	0.864999901	0.869588525	1.027491223
Crebl2	-0.872186976	-0.947970438	-0.600844828	-0.354596507	-0.44695683	-0.265150891
Crebzf	0.516225872	0.571572999	0.317855669	0.369762093	0.3046033	0.361328253
Creg1	0.565528961	0.688986821	0.627497709	1.043611219	0.646810245	0.96548185
Crem	-0.647031878	-0.701032358	-0.696176871	-0.62366276	-0.595190139	-0.489203848
Crtc1	-0.10443227	-0.189226396	-0.342857267	-0.646808104	-0.654601784	-0.614119376
Crx	-1.229717613	-1.118167809	-1.988249737	-1.359733327	-1.793690598	-1.246175674
Crxos1	-1.86040191	-1.942425902	-1.543550207	-1.383822961	-1.479811021	-1.643640639
Crym	-1.263844218	-1.225755779	-0.041063265	-0.088533805	-0.25372286	-0.818995924
Csda	2.910033264	2.912494781	3.034459122	3.034455918	2.744220358	3.034469999
Csdc2	-0.326279391	-0.35333721	-0.512447479	-0.37652932	-0.248835413	-0.490982524
Csde1	2.544670008	2.475311502	2.384273153	2.358588582	2.358596392	2.440884379
Csrp1	2.101792273	1.927310378	1.493988118	1.748789911	1.591620075	2.3842817
Csrp2	2.230807	2.062972215	1.631693025	2.268868178	2.130139613	0.627499959
Csrp3	-1.496896808	-0.868324437	-0.772519288	-0.928526586	-0.959231939	-0.631343436
Ctcf	1.336864285	1.49576757	1.668241068	1.404524067	1.649697556	1.41724351
Ctnnb1	2.359404576	2.509481156	2.230037836	2.384270635	2.38427853	2.411625558
Cux1	-0.169807767	-0.184401399	-0.158548056	-0.16494604	-0.284821945	0.022106692
Cux2	-0.536155719	-0.456232415	-0.546927036	-0.480331086	-0.580198569	-0.448701473
Dach1	-0.631558929	-0.903285249	-1.367677321	-0.498110419	-1.569812399	-0.550595524
Dach2	-0.881435057	-0.905654799	-1.443369062	-1.284596201	-1.859764653	-1.351881236
Dbp	0.203555864	0.488894954	0.537792426	1.763365461	0.582065388	1.999599441
Dbx1	-0.56460382	-0.753402084	-0.965478389	-1.149674173	-1.359737829	-1.302707223
Dbx2	-1.376180893	-1.64559244	-1.310064504	-1.661993754	-1.877610494	-1.392038921
Dcc	-0.858451803	-0.694997116	-1.375706397	-1.140597271	-1.655817337	-1.321246062
Ddit3	-0.064802822	-0.194055756	-0.067945217	0	0.266785837	0.684181154
Ddx1	2.290424344	2.361400332	2.035243198	1.851051534	2.087174863	1.734581888
Ddx5	1.749394934	1.676546368	1.273932087	1.325002146	1.392037071	1.347982904
Ddx54	0.876801725	0.956636449	0.970504332	0.904576425	0.985732478	0.840097289
Deaf1	0.541627637	0.314911938	0.783176786	0.525077575	0.455690682	0.761950857
Dlx1	-0.909639624	-0.406827295	0.809123068	-0.94807389	-0.415787458	0.072693862
Dlx2	-0.385145716	-0.269560191	0.424403267	-0.604625487	-0.631342597	1.032836574
Dlx3	-0.678450086	-0.338242803	-0.459192827	-0.530516128	-0.708276884	-0.439994634
Dlx4	-0.534335286	-0.358386266	-0.286465424	-0.598956742	-0.831166672	-0.616024168
Dlx5	-1.356262823	-1.020738035	-0.961724751	-1.575189675	-1.090835449	-1.377732406
Dlx6	-0.841505278	-1.020738035	-0.535970857	-0.844583122	-0.885783704	-1.291793815
Dmap1	1.094063426	1.038096141	1.383824422	1.359733327	1.266903734	1.302707223
Dmbx1	-0.618142095	-0.660275575	-0.535970857	-0.602733772	-1.012938129	-0.855886068
Dmrt1	-1.647224745	-1.483915964	-0.945611887	-0.516047337	0.09725543	-0.623665654
Dmrt2	-0.812684521	-1.225755779	-1.700480816	-1.955662399	-1.930006032	-0.78746737
Dmrt3	-1.400820563	-1.322815024	-1.842483532	-1.8686076	-1.493991487	-1.785959546
Dmrta1	-2.63192247	-2.443782896	-1.149675387	-1.608477265	-2.08037342	-1.834052314
Dmrta2	-0.182639526	0.508561231	-0.487424959	-0.007894654	-0.23420789	0.704233656
Dmrtb1	-0.812684521	-0.753402084	-0.643897004	-0.714362413	-0.676235488	-1.334496199
Dmrtc2	-0.674486953	-0.324056721	-0.274972428	0.660469204	-1.196544489	-0.155351962
Dmtf1	0.152208809	0.107699864	0.29469766	0.373143588	0.543269025	0.489203848
Dnajc1	-0.131469695	-0.072780185	0.235830129	0.080611157	-0.113926207	0.22448424
Dnajc2	0.650924083	0.847843869	0.78961382	0.708274539	0.871888219	0.550595524
Dnmt3b	-0.240785169	-0.066441808	0.036322993	-0.306255975	1.935038203	-0.403775597
Dpf1	-0.201943893	-0.13955711	-0.174556111	-0.412347977	-0.379920597	-0.58019934
Dpf2	0.539801885	0.542085785	0.422677436	0.490980246	0.514248014	0.694172795
Dtx1	-0.528884468	-0.68698886	-0.332831973	-0.648752315	0.090119279	-0.738985737
Dyrk1b	0.395365551	0.478246718	-0.248834852	-0.281535048	-0.336170761	-0.034743212
E2f1	0.160202218	0.23611102	0.301297715	0.234207114	0.213165819	-0.069528087
E2f2	0.452347986	0.29669944	0.690165468	-0.144175148	-0.314538009	-0.090119398
E2f3	0.694409734	0.647579185	0.306256299	0.462701111	0.462702643	0.41578801
E2f4	1.01459975	0.859177944	-0.182576553	-0.145770608	0.239078057	-0.232586039
E2f5	0.958314926	0.974185392	0.118694591	0.457440062	0.826726498	0.552431542
E2f6	0.840384035	0.80136835	0.5432678	0.629417624	0.336170761	0.422678951
E2f7	0.737168748	0.737792299	0.940702871	0.66636145	1.196544489	0.450446876
E2f8	0.334615899	0.333228401	0.319516154	0.007894654	0.496327177	-0.214781288
E430018J23Rik	-0.28163245	-0.324056721	-1.199759711	-0.270057669	-0.924903608	-0.482104403
E4f1	0.569234336	0.565081403	0.881131145	0.718435621	0.574610088	0.734851826
Eaf2	-1.08269904	-1.225755779	-0.90457738	-1.161924879	-0.473263187	-1.124199298
Ebf1	-1.592165451	-1.361354309	-0.52507813	-0.826723761	-0.400353611	-0.897495376
Ebf2	-1.906198304	-1.561034326	-1.518306761	-1.569807202	-1.868613787	-1.383829383
Ebf3	-1.184199605	-1.371307773	-0.565333971	-1.209486937	-0.84233894	-1.528293865
Ebf4	-1.388396286	-0.753402084	-0.702213335	-0.644866314	-1.486864182	-0.309567278
Edf1	2.074376672	1.957993808	1.809480603	1.5806178	1.693895995	1.662001467
Eed	0.331278561	0.334898941	0.471498425	0.434784392	0.660471391	0.294698716
Egr1	1.187370388	1.149523589	1.32878446	2.289632207	1.80153192	1.834052314
Egr2	-1.925681497	-1.408304134	-1.383824422	-0.597071404	-0.80476328	-0.498112731
Egr3	-0.438406839	-0.459739761	-0.431319211	-0.552428978	-0.589552919	-0.698188723
Egr4	-0.2481064	-0.324056721	-0.468855606	-0.619837547	-0.582065388	-0.502581877
Ehf	1.368149047	1.402005479	1.206232792	0.96547737	-1.317500538	1.073899328
Elf1	0.176220051	0.368511711	0.373143982	0.247206761	0.147366923	0.614119376
Elf2	0.294799304	0.534787265	0.629418288	0.587676031	0.405487543	0.619840424
Elf3	0.056100012	0.218272221	0.644866995	0.383313695	0.501686587	-0.167347838
Elf4	-0.102844379	-0.238549229	-0.815694261	-0.583932289	-0.871888219	-0.519656795
Elf5	-1.409223996	-1.599089718	-1.014249924	-1.13161264	-1.113913737	-1.484506957
Elk1	-0.409056172	-0.440517122	-0.660469902	-0.466215538	-0.530517885	-0.460948162
Elk3	-0.086978931	-0.082293257	0.268421238	0.13460989	0.177763324	0.347883945
Elk4	0.150611299	0.094988975	-0.118694591	-0.083779586	-0.373144823	-0.134610515
Emx1	-0.593512289	-0.627284535	-0.58955159	-0.67030239	-0.753553345	-0.851353523
Emx2	-2.035945175	-2.443782896	-0.402062845	-1.825733591	-1.127157854	-1.999599441
En1	-2.967008774	-2.863538267	-2.909029908	-3.239221551	-2.631020938	-2.311434965
En2	-0.618142095	-0.406827295	-1.646656796	-0.559791605	-0.567186334	0.031583644
Eny2	0.450600624	0.237736338	0.466216031	0.541440316	0.422678389	0.273334524
Eomes	-0.428006275	-0.614848635	-0.781038254	-0.591427962	0.602735768	-1.489233598
Epas1	1.549251764	1.702506217	0.837855698	1.171227677	0.783178552	0.459194473
Erf	0.62196413	0.4492343	0.198652989	0.226102365	0.00157892	0.192217222
Erg	-1.137985839	-1.313478624	-1.093686202	-1.071101031	-1.371683988	-0.980633408
Esr1	-1.340704076	-1.105057373	-0.654600308	-1.193334854	-1.183793973	-1.082329614
Esr2	-0.709532762	-0.868324437	-0.877655593	-0.578331838	-0.611265511	-0.876502552
Esrra	0.658737999	0.495131775	0.131424365	-0.180971358	-0.319516875	-0.018948187
Esrrb	-0.586005811	-0.463252712	-0.69818622	-0.682187797	0.523269882	-0.602736569
Esrrg	-1.513893698	-1.587983352	-0.926108861	-1.379752678	-1.770800664	-1.16812102
Esx1	0.296448682	0.478246718	-0.351237826	-0.378223791	-0.683184815	-0.129832495
Ets1	-0.527070993	-0.68499361	-1.325003545	-0.572749322	0.074276919	-0.528704009
Ets2	-0.033174707	-0.03162115	-0.003157838	0.052127587	-0.182576965	0.197043826
Etv1	0.218087746	0.363444379	-0.033163268	0.324502535	0.126648619	0.028424389
Etv2	-0.094908695	-0.482676895	-0.637123788	-0.68417798	0.324503609	-0.665380908
Etv3	0.036335521	0.047441508	-0.064780478	-0.10280881	-0.237454048	0.071110886
Etv4	0.381747999	0.323224279	0.311222363	0.1266482	0.172953764	0.020527414
Etv5	1.915849793	1.88900354	1.183791303	1.559175583	1.447823588	1.569814486
Etv6	0.190674406	0.386322337	0.585803761	0.612213951	0.678217692	0.526891152
Evx1	-0.369890019	-0.482676895	0.492760975	-0.747287932	-0.785320647	-0.833393972
Evx2	-0.29892425	-0.406827295	-1.140598475	-1.087987409	-1.219334361	-1.15272612
Ezh1	-0.128284252	-0.064857637	0.123465911	0.174555926	-0.20187472	0.139391585
Ezh2	1.977837342	1.93733861	1.763367323	1.508471379	1.886760526	1.538428896
Ferd3l	-1.126062324	-2.089656133	-0.768280607	-0.7369138	-0.924903608	-0.871889378
Fev	-1.159246942	-1.020738035	-2.230037836	-1.452298689	-2.1857651	-0.992145258
Fezf1	-1.053507231	-1.225755779	-0.811309603	-0.793922423	-1.575194891	-1.060014656
Fezf2	-1.323576472	-1.776661616	-1.767069904	-1.447818794	-2.322749673	-1.472832094
Fhl2	0.407340735	0.656357858	0.025265325	-0.222864615	0.616976576	0.158548624
Fhl5	-1.533865219	-1.483915964	-1.066927664	-1.190141299	-1.506040402	-0.803676317
Figla	-1.002830794	-0.868324437	-0.475910405	-0.897491211	-1.061392582	-0.759846751
Fiz1	1.49450341	1.423220095	1.347978072	1.479806121	1.700484651	1.479812988
Fli1	-2.048424686	-1.574367409	-2.177395309	-2.145362638	-2.145369741	-2.289642832
Fos	1.878253866	2.037667326	1.434550667	2.683361005	1.793690598	2.744224006
Fosb	-1.198562467	-1.020738035	-0.961724751	0.16974904	-0.667347931	-0.190609346
Fosl1	0.643149366	0.554927596	-1.216037487	-0.247206761	0.058453032	-0.43825725
Fosl2	0.794197094	0.72543149	0.33784041	0.508853116	0.302950437	0.851353523
Foxa1	-1.405009986	-1.225755779	-1.597187348	-1.614200189	-0.765112287	-1.855396184
Foxa2	-0.909639624	-1.020738035	-1.417238429	-1.591614805	-0.165746824	-1.334496199
Foxa3	-1.263844218	-1.020738035	-0.594247963	-0.95549737	-0.726620154	-0.967991799
Foxb1	-1.08269904	-1.020738035	-1.359734762	-1.31006312	-1.564474646	-1.034177493
Foxb2	-0.549865824	-0.660275575	-0.824510606	-1.019522629	-0.924903608	-0.815697185
Foxc1	0.688404518	0.717251584	1.155779239	1.13759227	0.412349342	0.712333519
Foxc2	-0.148215748	-0.406827295	-0.668331339	-0.770397418	0.110748539	-0.594250094
